Item#,U 08/2020,U 07/2020,U 06/2020,U 05/2020,U 04/2020,U 03/2020,U 02/2020,U 01/2020,U 12/2019,U 11/2019,U 10/2019,U 09/2019
MEM-DR416L-SL01-SO26,7,1,17,125,73,84,0,14,0,5,0,4
MEM-DR416L-SL02-ER26,7,33,0,45,207,108,313,417,279,389,210,140
MEM-DR464L-SL01-LR29,7,0,0,0,0,0,0,0,0,0,0,0
MEM-DR432L-SL01-UN26,6,0,24,6,0,0,20,4,0,0,20,0
MEM-DR432L-HL02-ER29,5,3,244,295,"1,338",77,"9,365","10,513","8,064","4,144","2,800",0
MEM-DR432L-SL02-EI12,5,4,1,29,26,18,238,301,116,1,4,4
MEM-DR464L-SL04-LR26,5,0,0,36,128,17,0,8,620,0,0,2
MEM-IDSAVM8-032G,5,0,0,0,0,0,0,0,10,6,29,28
MEM-DR416L-KL03-NV26,4,0,0,0,0,0,0,0,0,0,0,2
MEM-DR464L-SL01-ER26,4,1,12,34,0,127,0,768,2,0,25,72
MEM-IDSAHT1-256G,4,0,0,0,0,0,0,0,1,0,0,0
MEM-DR416L-CL03-ER32,3,16,0,0,0,64,0,0,0,0,0,0
MEM-IDSAVE1-064G,3,2,364,3,7,13,4,12,53,1,19,10
MEM-DR380L-HL03-EU16,2,0,0,1,0,0,10,0,0,0,2,0
MEM-DR380L-HL09-ER16,2,0,0,0,0,0,0,1,0,0,0,0
MEM-DR464L-CL01-LR26,2,6,3,2,24,10,12,0,4,31,26,22
MEM-DR464L-HL02-EI12,2,0,144,0,0,0,0,0,0,0,0,0
MEM-DR480L-HL03-ER24,2,0,4,201,201,0,59,156,160,8,461,545
MEM-IDSAVM8A-032G,2,15,145,0,95,115,0,12,15,0,0,0
MEM-IDSAVS3-032G,2,0,2,1,8,47,6,17,4,40,27,13
MEM-USB2G-AP-FI005,2,75,10,5,23,0,130,1,71,0,73,10
MEM-DR316L-SL04-ER18,1,4,0,0,0,4,0,2,0,0,0,0
MEM-DR316L-SL06-ER16,1,32,7,224,0,33,0,80,1,61,82,41
MEM-DR332L-SL02-LR18,1,0,0,0,0,0,0,0,0,10,0,0
MEM-DR340L-AL01-ES16,1,200,170,124,390,440,350,302,0,640,620,194
MEM-DR380L-HL05-ER13,1,0,0,0,0,0,0,0,0,0,0,0
MEM-DR380L-IL02-SO18,1,0,0,0,0,0,0,0,0,0,0,0
MEM-DR432L-CL02-LR24,1,0,0,0,0,0,0,0,0,0,0,0
MEM-DR464L-CL02-ER29,1,6,0,0,0,0,0,0,0,0,0,0
MEM-DR464L-CL02-LR24,1,0,0,0,2,0,0,0,0,0,0,0
MEM-DR480L-CL02-UN24,1,0,0,0,0,0,0,0,0,0,0,0
MEM-DR480L-HL02-ER26,1,7,5,5,5,0,22,5,0,0,10,261
MEM-FRU-RD32GB-NI22,1,0,449,76,56,46,"1,079",144,"1,795",160,114,62
MEM-AEP128G-ES1,0,0,16,0,0,0,0,0,0,0,0,0
MEM-APSAVM2-016G,0,0,0,0,0,0,0,0,0,0,0,0
MEM-APSAVS1-002G-FI005,0,0,0,0,0,0,0,0,0,0,0,0
MEM-APU9HM1-016G-CS045,0,0,0,0,0,0,0,0,0,0,0,0
MEM-APUAVM2-008G,0,0,0,0,0,0,0,0,0,0,0,0
MEM-APUAXX1-016G-PE010,0,0,0,0,0,0,0,0,0,0,70,150
MEM-ATUAXS1-002G-FI005,0,25,0,0,0,0,0,0,0,0,0,0
MEM-ATUAXS3-002G-FI005,0,175,11,11,0,0,0,0,0,0,6,4
MEM-ATUAXS4-002G-FI005,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR220L-CL03-ER6,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR220L-CL03-FB8,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR240L-CL04-ER8,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR316L-AT01-JN001,0,56,86,0,0,0,88,16,0,84,64,160
MEM-DR316L-CL04-ER16,0,0,0,0,0,8,0,0,0,0,80,0
MEM-DR316L-HL02-ER18,0,0,0,0,0,0,3,0,0,0,5,0
MEM-DR316L-HL03-ER16,0,0,0,0,0,0,13,0,0,0,0,0
MEM-DR316L-HL05-ER16,0,0,0,0,0,0,0,1,0,2,0,1
MEM-DR316L-HL06-ER16,0,0,0,0,0,0,0,1,0,0,0,0
MEM-DR316L-IL02-ER18,0,0,10,0,0,0,0,0,0,0,0,0
MEM-DR316L-SL01-ER16,0,0,1,0,0,0,4,0,0,0,0,0
MEM-DR316L-SL02-ER18,0,0,0,0,0,0,0,0,0,0,4,0
MEM-DR316L-SL02-NI22,0,0,0,0,0,0,0,0,0,0,32,0
MEM-DR316L-SL03-ER18,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR316L-SL05-ER13,0,0,5,0,0,0,0,0,0,0,0,0
MEM-DR316L-SL05-ER16,0,0,0,0,0,0,16,5,0,2,0,2
MEM-DR320L-CL05-EU13,0,0,0,0,0,0,0,6,0,0,0,0
MEM-DR320L-HL02-ER16,0,0,0,0,0,0,2,0,0,0,0,0
MEM-DR320L-SL04-EU13,0,0,0,0,0,0,25,0,0,0,0,0
MEM-DR332L1-LR18-KL002,0,0,8,0,401,8,0,0,168,0,0,0
MEM-DR332L-SL01-ER13,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR332L-SL01-LR18,0,0,0,4,0,0,0,0,0,0,0,0
MEM-DR332L-SL02-ER13,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR332L-SL04-LR16,0,0,0,0,0,0,0,5,0,17,0,4
MEM-DR340L-HL02-ES16,0,16,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-HL02-SO16,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-HL02-UN16,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-HL03-ER18,0,0,0,4,0,0,0,0,0,0,0,0
MEM-DR340L-HL03-SO16,0,0,22,0,0,0,0,0,0,0,0,0
MEM-DR340L-HL04-ER16,0,0,0,0,1,6,1,9,0,0,0,0
MEM-DR340L-HL04-EU16,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-HL08-ER13,0,0,0,0,0,0,0,0,4,0,0,0
MEM-DR340L-HV02-EU16,0,0,0,0,0,0,22,0,0,0,0,0
MEM-DR340L-HV03-EU16,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-IL01-UN18,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-IL02-SO13,0,0,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-IL03-SO16,0,0,100,0,8,0,0,0,0,13,0,0
MEM-DR340L-TL02-SO16,0,20,0,0,0,0,0,0,0,0,0,0
MEM-DR340L-TL03-SO16,0,0,125,12,0,100,0,52,0,78,25,10
